# Thai word frequencies extracted from Thai Wikipedia
# Source: https://huggingface.co/datasets/pythainlp/thai-wiki-dataset-v3
# License: CC BY-SA 4.0 — https://creativecommons.org/licenses/by-sa/4.0/
# Segmented with kham (https://github.com/preedep/kham)
# Articles processed: 500
# Format: word<TAB>count  (sorted by count descending)
# NOTE: Keep this file SEPARATE from tnc_freq.txt (which is CC0).
#       Do not merge — different licenses.
วิ	290
ทหาร	289
น้ำ	287
ราชวงศ์	287
ปกครอง	286
คริสต์ศตวรรษ	285
ก่อตั้ง	285
กองทัพ	283
ซิ	282
เป็นการ	281
ตา	278
โค	277
ปัญหา	277
นาย	277
เกิดขึ้น	276
เหล่านี้	276
ภายใน	275
ทางเศรษฐกิจ	275
คณะ	275
เดียวกัน	274
น้อย	273
ซี	273
บุคคล	272
ส่ง	271
วิกิพีเดีย	271
บริษัท	270
สหรัฐอเมริกา	270
ตระกูล	270
เน	269
ช่วย	268
ภาพยนตร์	268
ศตวรรษ	268
คิด	267
สูงสุด	267
ราช	267
พระเจ้า	267
ดา	266
เท่านั้น	266
สู่	266
ควบคุม	265
บาท	265
ต่างประเทศ	263
คณิตศาสตร์	262
เกาหลีใต้	262
เล	261
ไอ	261
ต้องการ	261
ชิ	261
โก	260
แตกต่าง	259
เดิม	259
ปลาย	257
พวก	256
อัตรา	256
ซอฟต์แวร์	255
แม่น้ำ	255
กิ	255
กำลัง	254
ลี	254
เม	253
ทศวรรษ	253
แหล่งข้อมูล	253
ตนเอง	253
การ์ตูน	253
อย่างไรก็ตาม	252
พูด	252
ก็ได้	251
ด์	251
วัด	250
แยก	249
การค้า	249
เห็น	248
โครงสร้าง	248
ฮา	247
สถาปนา	247
บทความ	246
บา	246
เค	245
แปล	244
ใด	243
เพลง	243
ดาว	242
ฮิ	242
เลือก	242
เซนต์	242
เกี่ยวข้อง	241
อเมริกัน	241
ระหว่างประเทศ	241
ขนาด	240
ฝ่าย	240
แนว	238
หมู่เกาะ	238
คล้าย	237
โดยเฉพาะ	236
กำหนด	236
วิธีการ	236
ปลูก	236
หลังจาก	235
ออ	235
จัดการ	235
ไฟล์	235
เก	234
เป็นต้น	232
ทางการเมือง	232
นพรัตน์	232
นี	231
ครั้งแรก	231
วา	231
อิทธิพล	229
ทะเล	229
รัฐสภา	229
บิ	228
เงิน	228
มากขึ้น	225
พลังงาน	225
หา	225
กลับ	225
วิทยาลัย	225
ทั้งสอง	224
ระบุ	224
กรุง	224
จักรวรรดิ	224
วงศ์	224
โต	223
วัตถุ	222
แสดง	222
กีฬา	222
ประจำ	222
นับ	221
เดินทาง	220
เจ้า	220
พัน	219
พืช	218
ต่อเนื่อง	216
ตั้ง	215
อากาศ	215
มาเลเซีย	215
เอง	214
เข้าไป	214
ตุลาคม	214
โปรแกรม	214
เป็นหนึ่ง	213
ซ์	213
ทีม	213
ธรรมชาติ	212
นิยาย	212
เบ	212
เกาหลีเหนือ	212
วิชา	211
หาก	211
จิ	211
ถือเป็น	209
ตั้งอยู่	209
โรค	208
ฟิลิปปินส์	208
ร่วม	207
พฤษภาคม	207
ตีพิมพ์	207
ผู้นำ	205
ผลิต	204
โบ	204
ค้นพบ	203
ภูมิศาสตร์	203
น์	203
ทั	203
พระมหากษัตริย์	203
โด	203
วิธี	201
สิงคโปร์	201
เหตุการณ์	200
ขาว	200
ภาษาไทย	200
ทา	200
วิเคราะห์	199
อง	199
ฐานะ	199
นับถือ	199
สยาม	199
การผลิต	198
อาเซียน	198
โดราเอมอน	198
พื้นฐาน	197
หมู่	196
แก้ไข	196
ยู	196
ประชาธิปไตย	196
อาณานิคม	196
องค์การ	195
เติบโต	195
เป็นสมาชิก	195
ความร่วมมือ	195
มีนาคม	195
ตัวอย่าง	194
ผลงาน	194
แม้	194
ภายหลัง	194
ค่า	193
มหา	193
เล่ม	193
เล็ก	192
รอง	192
ชีวิต	192
เอเชียตะวันออกเฉียงใต้	191
มากมาย	189
นุ	189
รุ่น	189
ประกอบ	188
แสง	188
ในขณะที่	188
ราว	188
เส้น	187
บริการ	187
แนวคิด	186
ที่อยู่	186
ต่างๆ	185
สินค้า	185
ดำรงตำแหน่ง	185
ส่วนหนึ่ง	184
ธันวาคม	184
ย่า	184
กันยายน	183
รักษา	183
ล์	182
